行政區,路名,段、號及其他註明,經度,緯度,備註
士林區,重慶北路,四段78號,121.513012,25.082169,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,延平北路,五段2之1號福德綠地前左邊4公尺,121.511347,25.079076,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,重慶北路,四段60號,121.513168,25.081529,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,重慶北路,四段54號,121.513305,25.081281,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,環河北路,三段95號前左側樓梯下,121.507081,25.083452,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,環河北路,三段95號前左側樓梯下,121.507091,25.083424,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,延平北路,五段2之1號 福德綠地前,121.511464,25.078916,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,環河北路,3段95號前左側樓梯下,121.507038,25.083562,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,延平北路,七段250號福安國中(左側近臨江園),121.488503,25.102312,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,延平北路,七段250號福安國中(左側),121.4880556,25.10277778,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,延平北路,七段250號福安國中大門口(靠近UBIKE處),121.487436,25.103221,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,延平北路    ,七段250號福安國中(右側公車亭內),121.4872524,25.1031533,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,士東路,180號(台電),121.532309,25.112502,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,士東路,190號(法院正門200巷)(一),121.5336,25.111953,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,忠誠路,二段268號對面,121.53346,25.115397,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,七段141巷43號 (體惠幼稚園旁),121.530485,25.124856,嚴禁投入家用垃圾，違者重罰新台幣6000元
